country,metric,unit,date,value,year_month,metric_std
가이아나,무역수지,천불,2024-06-01,3819,2024-06,trade_balance
가이아나,수출금액,천불,2024-07-01,3819,2024-07,export_value
가이아나,수입금액,천불,2024-07-01,0,2024-07,import_value
가이아나,무역수지,천불,2024-07-01,3819,2024-07,trade_balance
가이아나,수출금액,천불,2024-08-01,3536,2024-08,export_value
가이아나,수입금액,천불,2024-08-01,0,2024-08,import_value
가이아나,무역수지,천불,2024-08-01,3536,2024-08,trade_balance
가이아나,수출금액,천불,2024-09-01,2962,2024-09,export_value
가이아나,수입금액,천불,2024-09-01,0,2024-09,import_value
가이아나,무역수지,천불,2024-09-01,2962,2024-09,trade_balance
가이아나,수출금액,천불,2024-10-01,3625,2024-10,export_value
가이아나,수입금액,천불,2024-10-01,0,2024-10,import_value
가이아나,무역수지,천불,2024-10-01,3625,2024-10,trade_balance
가이아나,수출금액,천불,2024-11-01,2160,2024-11,export_value
가이아나,수입금액,천불,2024-11-01,43,2024-11,import_value
가이아나,무역수지,천불,2024-11-01,2117,2024-11,trade_balance
가이아나,수출금액,천불,2024-12-01,2682,2024-12,export_value
가이아나,수입금액,천불,2024-12-01,0,2024-12,import_value
가이아나,무역수지,천불,2024-12-01,2682,2024-12,trade_balance
가이아나,수출금액,천불,2025-01-01,4547,2025-01,export_value
가이아나,수입금액,천불,2025-01-01,49,2025-01,import_value
가이아나,무역수지,천불,2025-01-01,4499,2025-01,trade_balance
가이아나,수출금액,천불,2025-02-01,1916,2025-02,export_value
가이아나,수입금액,천불,2025-02-01,138,2025-02,import_value
가이아나,무역수지,천불,2025-02-01,1778,2025-02,trade_balance
가이아나,수출금액,천불,2025-03-01,3422,2025-03,export_value
가이아나,수입금액,천불,2025-03-01,147,2025-03,import_value
가이아나,무역수지,천불,2025-03-01,3276,2025-03,trade_balance
가이아나,수출금액,천불,2025-04-01,3708,2025-04,export_value
가이아나,수입금액,천불,2025-04-01,47,2025-04,import_value
가이아나,무역수지,천불,2025-04-01,3661,2025-04,trade_balance
가이아나,수출금액,천불,2025-05-01,3511,2025-05,export_value
가이아나,수입금액,천불,2025-05-01,2,2025-05,import_value
가이아나,무역수지,천불,2025-05-01,3509,2025-05,trade_balance
가이아나,수출금액,천불,2025-06-01,3700,2025-06,export_value
가이아나,수입금액,천불,2025-06-01,7,2025-06,import_value
가이아나,무역수지,천불,2025-06-01,3693,2025-06,trade_balance
가이아나,수출금액,천불,2025-07-01,4109,2025-07,export_value
가이아나,수입금액,천불,2025-07-01,533,2025-07,import_value
가이아나,무역수지,천불,2025-07-01,3576,2025-07,trade_balance
가이아나,수출금액,천불,2025-08-01,3193,2025-08,export_value
가이아나,수입금액,천불,2025-08-01,152,2025-08,import_value
가이아나,무역수지,천불,2025-08-01,3041,2025-08,trade_balance
가이아나,수출금액,천불,2025-09-01,4202,2025-09,export_value
가이아나,수입금액,천불,2025-09-01,149,2025-09,import_value
가이아나,무역수지,천불,2025-09-01,4053,2025-09,trade_balance
가이아나,수출금액,천불,2025-10-01,2138,2025-10,export_value
가이아나,수입금액,천불,2025-10-01,11,2025-10,import_value
가이아나,무역수지,천불,2025-10-01,2127,2025-10,trade_balance
가이아나,수출금액,천불,2025-11-01,3988,2025-11,export_value
가이아나,수입금액,천불,2025-11-01,64,2025-11,import_value
가이아나,무역수지,천불,2025-11-01,3924,2025-11,trade_balance
가이아나,수출금액,천불,2025-12-01,4595,2025-12,export_value
가이아나,수입금액,천불,2025-12-01,20542,2025-12,import_value
가이아나,무역수지,천불,2025-12-01,-15946,2025-12,trade_balance
가이아나,수출금액,천불,2026-01-01,3786,2026-01,export_value
가이아나,수입금액,천불,2026-01-01,166,2026-01,import_value
가이아나,무역수지,천불,2026-01-01,3620,2026-01,trade_balance
가이아나,수출금액,천불,2026-02-01,3370,2026-02,export_value
가이아나,수입금액,천불,2026-02-01,259,2026-02,import_value
가이아나,무역수지,천불,2026-02-01,3111,2026-02,trade_balance
가이아나,수출금액,천불,2026-03-01,4191,2026-03,export_value
가이아나,수입금액,천불,2026-03-01,841,2026-03,import_value
가이아나,무역수지,천불,2026-03-01,3350,2026-03,trade_balance
가이아나,수출금액,천불,2026-04-01,4114,2026-04,export_value
가이아나,수입금액,천불,2026-04-01,693,2026-04,import_value
가이아나,무역수지,천불,2026-04-01,3420,2026-04,trade_balance
가이아나,수출금액,천불,2026-05-01,5715,2026-05,export_value
가이아나,수입금액,천불,2026-05-01,46,2026-05,import_value
가이아나,무역수지,천불,2026-05-01,5669,2026-05,trade_balance
가이아나,수출금액,천불,2026-06-01,3051,2026-06,export_value
가이아나,수입금액,천불,2026-06-01,2,2026-06,import_value
가이아나,무역수지,천불,2026-06-01,3048,2026-06,trade_balance
가이아나,수출금액,천불,2026-07-01,3726,2026-07,export_value
가이아나,수입금액,천불,2026-07-01,744,2026-07,import_value
가이아나,무역수지,천불,2026-07-01,2982,2026-07,trade_balance
감비아,수출금액,천불,2024-01-01,460,2024-01,export_value
감비아,수입금액,천불,2024-01-01,679,2024-01,import_value
감비아,무역수지,천불,2024-01-01,-219,2024-01,trade_balance
감비아,수출금액,천불,2024-02-01,218,2024-02,export_value
감비아,수입금액,천불,2024-02-01,386,2024-02,import_value
감비아,무역수지,천불,2024-02-01,-168,2024-02,trade_balance
감비아,수출금액,천불,2024-03-01,407,2024-03,export_value
감비아,수입금액,천불,2024-03-01,1358,2024-03,import_value
감비아,무역수지,천불,2024-03-01,-951,2024-03,trade_balance
감비아,수출금액,천불,2024-04-01,250,2024-04,export_value
감비아,수입금액,천불,2024-04-01,678,2024-04,import_value
감비아,무역수지,천불,2024-04-01,-428,2024-04,trade_balance
감비아,수출금액,천불,2024-05-01,224,2024-05,export_value
감비아,수입금액,천불,2024-05-01,656,2024-05,import_value
감비아,무역수지,천불,2024-05-01,-432,2024-05,trade_balance
감비아,수출금액,천불,2024-06-01,496,2024-06,export_value
감비아,수입금액,천불,2024-06-01,550,2024-06,import_value
감비아,무역수지,천불,2024-06-01,-54,2024-06,trade_balance
감비아,수출금액,천불,2024-07-01,113,2024-07,export_value
감비아,수입금액,천불,2024-07-01,936,2024-07,import_value
감비아,무역수지,천불,2024-07-01,-823,2024-07,trade_balance
감비아,수출금액,천불,2024-08-01,261,2024-08,export_value
