"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"러시아 연방","수출금액[천불]","천불","381462","682255","308285","316427","313514","358275","379387","380507","350113","333045","371130","354642","223134","297091","298270","360294","373712","339619","381265","325632","416221","380400","347606","300518","240573","249198","293483","317619","286626","363966","380403",
"러시아 연방","수입금액[천불]","천불","531098","603016","557421","528178","619769","453789","502587","897402","589950","552246","502982","534550","501822","485544","436418","618842","510577","410072","731246","716558","716443","609476","601983","556688","543930","518742","598579","745190","478038","596652","742869",
"러시아 연방","무역수지[천불]","천불","-149635","79239","-249136","-211751","-306255","-95514","-123200","-516895","-239837","-219201","-131853","-179908","-278688","-188454","-138148","-258548","-136866","-70453","-349980","-390926","-300222","-229076","-254377","-256171","-303356","-269544","-305096","-427571","-191412","-232687","-362466",
"태국","수출금액[천불]","천불","637271","608839","605607","668783","646806","599051","773150","638203","622579","622214","642537","613190","624225","668577","658855","695984","636381","648696","690458","640192","708735","637105","725659","675169","870058","720885","917462","1065299","913773","1051971","1034388",
"태국","수입금액[천불]","천불","551773","554798","601694","635057","608572","620340","683555","618702","572102","574888","587618","564965","460643","610306","603818","662585","565187","640720","624229","583837","612170","519433","536837","549420","497130","553283","641047","686480","636930","785028","689530",
"태국","무역수지[천불]","천불","85498","54041","3912","33726","38234","-21290","89595","19501","50477","47326","54919","48224","163581","58270","55037","33398","71193","7976","66229","56355","96565","117672","188822","125749","372928","167602","276415","378819","276842","266943","344858",
"영국","수출금액[천불]","천불","864312","531684","540519","468387","540368","517007","498012","509512","519977","668609","492372","491197","556947","481863","504707","588905","605684","608661","719584","644021","758366","483668","618440","598291","736186","574861","665551","732061","568289","735552","902381",
"영국","수입금액[천불]","천불","258495","540493","467188","369953","272515","413638","381854","350891","482666","331396","305740","397433","332881","358048","371529","522425","341631","415130","381185","343206","421730","271176","354012","430526","248054","417527","367204","422565","379555","422554","376463",
"영국","무역수지[천불]","천불","605816","-8810","73332","98434","267853","103370","116158","158621","37311","337213","186631","93764","224066","123815","133178","66479","264053","193531","338399","300815","336636","212491","264428","167765","488132","157334","298347","309497","188734","312998","525918",
"브라질","수출금액[천불]","천불","421342","412914","453937","496174","452050","437407","482536","463950","440467","390073","390275","409488","405357","427287","425885","653859","405682","402034","402748","358648","480784","2860765","408149","479220","394975","459476","583641","650749","561552","642113","691480",
"브라질","수입금액[천불]","천불","680253","662164","450516","650668","654813","283156","627546","413219","636443","869201","551541","819021","687723","473438","609071","679743","530884","487962","530124","375281","460281","781871","464903","523993","571172","495029","373254","725174","518210","348323","590474",
"브라질","무역수지[천불]","천불","-258911","-249250","3421","-154494","-202763","154251","-145010","50732","-195976","-479128","-161266","-409533","-282366","-46152","-183186","-25884","-125202","-85928","-127377","-16633","20503","2078894","-56754","-44773","-176197","-35553","210387","-74424","43343","293790","101005",
"사우디아라비아","수출금액[천불]","천불","503060","409281","384382","479810","445553","506899","366768","422795","462474","332938","453577","467447","291910","358306","445522","372386","293128","464237","382228","357320","429792","346605","501277","617378","317251","294402","158406","282827","279291","482026","512595",
"사우디아라비아","수입금액[천불]","천불","2662075","2367819","2608414","2800137","3040380","2405558","2760011","2559626","2581723","2528232","2454789","2681083","2482498","2366254","2400642","2084771","2054506","2313436","2241789","2817172","2141061","2614247","1999741","1915634","2311721","1842173","2303665","1905141","2352918","2695754","3377693",
"사우디아라비아","무역수지[천불]","천불","-2159015","-1958538","-2224033","-2320327","-2594827","-1898658","-2393243","-2136831","-2119249","-2195294","-2001212","-2213636","-2190588","-2007948","-1955120","-1712384","-1761378","-1849199","-1859562","-2459853","-1711269","-2267642","-1498464","-1298256","-1994471","-1547771","-2145259","-1622314","-2073626","-2213728","-2865098",
"아랍에미리트 연합","수출금액[천불]","천불","498255","410379","430757","451815","395644","447899","530001","328175","348645","353563","465304","406276","329442","501214","440866","493853","410029","527053","390360","356822","476234","386330","711304","639532","465642","602520","171398","231755","336767","492491","388389",
"아랍에미리트 연합","수입금액[천불]","천불","1881176","1379498","1809469","1995492","1267426","1632577","1256010","1471818","1325343","1496760","1435526","979744","1456901","1379017","1620546","920934","790575","1215952","1459655","1748694","1118033","1021176","735565","649531","1256074","1151776","1194716","1401669","1784355","1610157","1626954",
"아랍에미리트 연합","무역수지[천불]","천불","-1382921","-969119","-1378713","-1543676","-871783","-1184677","-726009","-1143643","-976698","-1143197","-970222","-573468","-1127459","-877803","-1179680","-427081","-380545","-688899","-1069295","-1391872","-641799","-634846","-24261","-9999","-790432","-549256","-1023317","-1169915","-1447588","-1117666","-1238565",
"네덜란드","수출금액[천불]","천불","537973","587083","706082","577686","550288","480559","618512","497721","616412","536975","567845","521531","458102","578872","655219","825085","838724","758376","969714","875032","959711","830323","820092","1051001","695251","1017721","1464541","1054937","1298149","1394426","3108773",
"네덜란드","수입금액[천불]","천불","288616","564400","692047","468368","539538","721330","264057","394462","1217287","516059","1067268","1440374","484397","746249","1609234","546848","633220","810402","711782","596168","1448693","657563","855195","953213","1083862","1495624","1562040","1088099","1371006","1338844","1081859",
"네덜란드","무역수지[천불]","천불","249357","22683","14035","109318","10751","-240770","354455","103260","-600876","20916","-499423","-918843","-26295","-167376","-954015","278237","205504","-52026","257932","278865","-488982","172760","-35103","97788","-388610","-477903","-97499","-33162","-72857","55582","2026914",
"캐나다","수출금액[천불]","천불","905864","771374","868836","972096","942685","892873","941186","782091","792903","913564","702083","865952","734752","816900","895302","888574","959682","936157","802649","782905","825543","751025","874918","939889","1068190","911587","1124092","1145190","1121829","1167452","1050798",
"캐나다","수입금액[천불]","천불","593573","554626","699638","636775","424967","586267","553694","518528","685894","557349","547839","493383","542674","443163","540413","516845","550473","543683","670765","429508","744999","487576","480302","622498","713412","787363","812839","1124027","1136033","961946","941519",
"캐나다","무역수지[천불]","천불","312291","216749","169198","335321","517718","306606","387492","263563","107009","356214","154243","372568","192078","373737","354889","371729","409209","392474","131884","353396","80544","263450","394616","317391","354777","124223","311253","21163","-14204","205506","109279",
"마샬군도","수출금액[천불]","천불","358193","242677","47451","230731","274110","55138","312","420558","722816","197244","363","45013","737986","355701","122796","180050","278004","150341","227469","612134","480232","462064","652252","1008679","294994","822419","582810","542321","693427","715752","866457",
